"store","product","stock","receipt","sales","stockout"
2,3,28.04,-2.38,4.42,0
2,5,11.8,8.4,7.6,0
2,1,20.5,21.2,22.1,0
2,2,28.284,10,6.988,0
3,4,36,54,18,0
3,3,23.02,4.5,1.1,0
3,5,18.6,18,2.4,0
3,1,35.1,45.2,16.2,1
3,2,19.56,10.78,9.444,0
4,4,8.1,27,18.9,0
4,3,35.58,15.98,5.58,0
4,5,4,5.4,8.4,1
4,1,13.9,27.6,37.2,1
4,2,19.148,10,11,1
2,4,14.4,22.5,9,0
2,3,23.1,-4,0.94,0
2,5,7,1.6,6.4,1
2,1,29.6,22.1,13,0
2,2,24.312,8,11.972,0
3,4,8.1,0,27.9,0
3,3,16.08,-1.82,5.12,0
3,5,11.2,-3.4,4,0
3,1,8.4,5.6,32.3,0
3,2,5.984,-1.632,11.944,1
4,4,18.9,31.5,20.7,0
4,3,31,1,5.58,0
4,5,3,8,9,1
4,1,8,8.1,14,1
4,2,19.232,13.6,13.516,1
2,4,22.5,16.2,8.1,0
2,3,22.6,3.82,4.32,0
2,5,7,5.2,5.2,1
2,1,26.5,27.6,30.7,0
2,2,6.88,1.8,20.232,0
3,4,9,17.1,16.2,0
3,3,10.04,-3.5,2.54,0
3,5,6,2,7.2,1
3,1,3.2,3.2,8.4,1
3,2,5.168,9.8,10.616,1
4,4,23.4,18,13.5,0
4,3,22.84,-2.96,5.2,0
4,5,5,5.2,3.2,1
4,1,10.4,14.9,12.5,1
4,2,24.232,10,5,0
2,4,4.5,0,18,0
2,3,23.76,1.88,0.72,0
2,5,5,6.4,8.4,1
2,1,20.5,10.4,16.4,0
2,2,8.58,9.7,8,1
3,4,1.8,18,25.2,0
3,3,11.58,3.58,2.04,1
3,5,4,2,4,1
3,1,4.8,24.3,22.7,1
3,2,0.9,4.632,8.9,1
4,4,30.6,21.6,14.4,0
4,3,10.44,-8.8,3.6,1
4,5,3,9,11,1
4,1,5.6,7,11.8,1
4,2,18.16,10,16.072,0
2,4,0,5.4,9.9,1
2,3,20.14,-0.52,3.1,0
2,5,7,5.2,3.2,1
2,1,25.8,29,23.7,0
2,2,10.464,19,17.116,1
3,4,0,0,1.8,1
3,3,8.4,0.12,3.3,1
3,5,1,0,3,1
3,1,6.4,4.8,3.2,1
3,2,4.5,9,5.4,1
4,4,13.5,0,17.1,0
4,3,4.92,-1.42,4.1,1
4,5,0,4,7,1
4,1,5.6,16.5,16.5,1
4,2,9.06,7.2,17.2,1
2,4,17.1,27,9.9,0
2,3,16.62,0.34,3.86,0
2,5,7.8,9.2,8.4,0
2,1,37.2,30.9,19.5,0
2,2,16.376,14.728,8.816,0
3,4,6.3,26.1,19.8,0
3,3,8.58,4.42,4.24,0
3,5,0,8,9,1
3,1,3.2,34.4,37.6,1
3,2,17.516,32.16,19.144,1
4,4,17.1,18,15.3,0
4,3,18.68,17.68,3.92,1
4,5,1,11,10,1
4,1,26.4,30,10.5,0
4,2,18.66,19.5,9.9,0
2,4,22.5,25.2,19.8,0
2,3,16.54,10.1,10.18,0
2,5,10.8,18.2,15.2,0
2,1,80,86,43.2,0
2,2,41.676,35.56,10.26,0
3,4,13.5,36,28.8,0
3,3,13.42,12.3,7.46,0
3,5,3,11.6,8.6,1
3,1,1.3,52,58.6,1
3,2,20.944,23.6,22.172,0
4,4,16.2,27,27.9,0
4,3,16.58,14.4,16.5,0
4,5,6.8,22.8,17.8,0
4,1,22.1,29.7,34.8,0
4,2,32.16,26.4,12.9,0
2,4,35.1,34.2,21.6,0
2,3,23.04,10.1,3.6,0
2,5,10.8,18,18,0
2,1,103.3,66.2,42.9,0
2,2,50.376,33.5,24.8,0
3,4,21.6,36,27.9,0
3,3,26.6,16.06,2.88,0
3,5,9.8,29.4,22.6,0
3,1,44.3,86,43,0
3,2,36.544,32.5,16.9,0
4,4,23.4,36,28.8,0
4,3,24.18,20.12,12.52,0
4,5,7,28.6,28.4,1
4,1,11.1,33.2,44.2,1
4,2,39.016,36.3,29.444,0
2,4,18.9,4.5,20.7,0
2,3,35.18,13.14,1,0
2,5,7.8,3.2,6.2,0
2,1,75.5,9.4,37.2,0
2,2,31.46,0.8,19.716,0
3,4,5.4,18,35.1,0
3,3,21.98,4.16,8.78,0
3,5,5,0,4.8,1
3,1,35,27.5,38.1,0
3,2,24.172,2.7,15.072,1
4,4,0,3.6,27,1
4,3,25.12,7.58,6.64,0
4,5,5,12,14,1
4,1,20.7,25,15.4,1
4,2,35.072,16.3,20.244,0
2,4,25.2,23.4,16.2,0
2,3,55.18,24.2,1.44,0
2,5,24,39.8,21.8,0
2,1,67.8,32.4,38.8,1
2,2,24.172,14.6,20.888,1
3,4,19.8,36,21.6,0
3,3,33.76,16.02,4.24,0
3,5,9,27,23.8,1
3,1,70.6,64.8,29.2,0
3,2,50.784,52.7,26.088,0
4,4,14.4,45,30.6,0
4,3,52.54,29.46,2.04,0
4,5,26.4,42.4,21.8,0
4,1,30.2,52.8,43.3,0
4,2,49.072,28.9,14.9,0
2,4,45.9,36,15.3,0
2,3,64.56,11.42,2.04,0
2,5,39.2,21,5.8,0
2,1,85.7,58,40.1,0
2,2,47.7,31.8,8.272,0
3,4,55.8,54,18,0
3,3,43.24,10.58,2.1,0
3,5,33.8,29,4.2,0
3,1,95.4,67.5,44,0
3,2,58.296,23.6,16.088,0
4,4,31.5,49.5,32.4,0
4,3,80.04,31.74,4.24,0
4,5,49.2,32.4,9.6,0
4,1,55.5,69,43.7,1
4,2,78.2,47.2,18.072,0
1,4,0,10.8,10.8,1
1,3,10.16,12.1,1.94,0
1,5,5.6,12,6.4,0
1,1,4,19.4,15.4,1
1,2,23.74,29.18,7.072,0
2,4,13.5,0,32.4,0
2,3,62.46,0,2.1,0
2,5,41.2,17.6,15.6,0
2,1,47.7,-2.9,35.1,0
2,2,42.984,10,14.716,0
3,4,26.1,0,29.7,0
3,3,34,-8.14,1.1,0
3,5,39.8,16.4,10.4,0
3,1,43.5,-4.2,47.7,0
3,2,47.564,12.7,23.432,0
4,4,3.6,0,27.9,0
4,3,62.7,-10.54,6.8,0
4,5,30.2,-1,18,0
4,1,16,-7.2,32.3,0
4,2,64.1,3.6,17.7,0
1,4,0,13.5,13.5,1
1,3,17.12,16.86,9.9,0
1,5,16.2,17,6.4,0
1,1,8.2,17.8,13.6,0
1,2,12.756,11.7,17.788,0
2,4,18,27,23.4,0
2,3,58.32,0,4.14,0
2,5,30.4,-0.8,10,0
2,1,60.1,47.3,36.2,1
2,2,22.364,0,20.62,0
3,4,0,0,26.1,1
3,3,16.22,-9.22,8.56,0
3,5,27.6,-1,11.2,0
3,1,2.6,32.5,73.4,1
3,2,16.592,-1,29.972,0
4,4,2.7,33.3,36.9,0
4,3,11.5,-48.32,2.88,1
4,5,15.8,1.6,16,0
4,1,32,66.3,51.1,0
4,2,18.5,-29.6,16,1
1,4,3.6,18,14.4,0
1,3,15.7,4,5.42,0
1,5,8.4,2,9.8,0
1,1,10.4,34.2,32,1
1,2,4.08,3.8,11.116,1
2,4,38.7,43.2,24.3,0
2,3,51.6,0,6.62,0
2,5,24.6,4,9.8,0
2,1,70.5,46.6,40.1,1
2,2,18.204,10.1,17.16,0
3,4,21.6,44.1,23.4,0
3,3,10.7,-1.88,3.64,1
3,5,21,0,6.6,0
3,1,2.4,47.9,49.4,1
3,2,7.22,4.6,14.972,1
4,4,27.9,59.4,35.1,0
4,3,3,-1,7.5,1
4,5,19.8,14.4,11.2,0
4,1,36.1,50.7,46.6,0
4,2,14.628,0,4.872,1
1,4,0,18,21.6,1
1,3,14.04,6.7,8.36,1
1,5,4.8,1.6,5.2,0
1,1,4.8,5.9,11.5,1
1,2,2.992,14,15.088,1
2,4,33.3,28.8,34.2,0
2,3,35.6,-11.36,4.64,0
2,5,22.6,7,9,0
2,1,76.9,52,46.9,0
2,2,18.532,17.928,17.6,0
3,4,11.7,48.6,58.5,0
3,3,11.02,6.16,5.84,1
3,5,18.4,4,6.6,0
3,1,66.4,114.6,52.6,0
3,2,9.348,15.3,13.172,1
4,4,21.6,33.3,39.6,0
4,3,3,6.32,6.32,1
4,5,5,-2.6,12.2,1
4,1,17.8,38.2,56.5,0
4,2,2.7,1.672,13.6,1
1,4,0,15.3,15.3,1
1,3,10.7,6.96,10.3,1
1,5,7.8,16.4,13.4,0
1,1,6.3,44,42.5,1
1,2,15.204,27.2,14.988,0
2,4,32.4,27,27.9,0
2,3,38.22,6.48,3.86,0
2,5,23,7.2,6.8,0
2,1,70.5,42.2,48.6,1
2,2,30.716,19.456,7.544,0
3,4,0.9,22.5,35.1,0
3,3,7.54,4.76,8.24,1
3,5,6.8,5.6,17.2,0
3,1,39.2,45.4,72.6,0
3,2,19.432,31.8,21.716,0
4,4,18.9,40.5,43.2,0
4,3,17.82,19.2,4.38,1
4,5,1.6,17.6,21,1
4,1,14.6,59.7,62.9,0
4,2,7.7,22.7,17.7,1
1,4,0,22.5,22.5,1
1,3,14.32,9.3,5.68,1
1,5,8.4,12.8,12.2,0
1,1,11.9,52.8,47.2,1
1,2,24.088,21.6,12.716,0
2,4,45.9,26.1,12.6,0
2,3,40.04,3.64,1.82,0
2,5,19.2,8,11.8,0
2,1,32.5,20.8,58.8,0
2,2,25.6,10.228,15.616,1
3,4,0.9,18,18,0
3,3,11.16,7.66,4.04,1
3,5,5.8,8,9,0
3,1,33,44.6,50.8,0
3,2,17.148,19.96,22.244,0
4,4,0.9,18,36.9,0
4,3,19.82,5.82,3.82,1
4,5,5.6,16,12,1
4,1,8.2,29.8,36.2,0
4,2,24.188,29.76,13.272,0
1,4,0,14.4,14.4,1
1,3,18.3,7.08,3.1,0
1,5,12.2,17.6,13.8,0
1,1,15.1,29.1,25.9,1
1,2,34.532,28.16,17.716,0
2,4,99.9,67.5,13.5,0
2,3,29.74,-2.94,7.36,0
2,5,38,32,13.2,0
2,1,80.2,81.8,34.1,0
2,2,57.072,40,8.8,0
3,4,30.6,58.5,28.8,0
3,3,18.12,9.84,2.88,1
3,5,9.6,17.2,13.4,0
3,1,97.3,95.2,30.9,1
3,2,46.948,41.8,12,0
4,4,62.1,90,28.8,0
4,3,11.24,4.94,13.52,1
4,5,28.4,40,17.2,0
4,1,65.3,93.8,36.7,1
4,2,63.688,50.4,10.9,0
1,4,28.8,52.2,23.4,0
1,3,24.7,12.26,5.86,0
1,5,16.8,15.2,10.6,0
1,1,25.9,49.2,39.8,1
1,2,38.56,18,13.972,0
2,4,82.8,18,35.1,0
2,3,29.78,4.64,4.6,0
2,5,45.2,22,14.8,0
2,1,109.4,90.5,61.3,0
2,2,77.032,34.96,18,0
3,4,36,40.5,36,0
3,3,23.32,9.12,3.92,0
3,5,9.6,8.4,8.4,0
3,1,102.7,55.4,50,0
3,2,46.332,20.8,21.416,0
4,4,79.2,45,27.9,0
4,3,15.9,5.6,0.94,1
4,5,41.6,29,15.8,0
4,1,106.5,83.8,43.4,1
4,2,77.272,29.1,15.516,1
1,4,15.3,13.5,27,0
1,3,20.96,-0.1,3.64,0
1,5,29,16.4,4.2,0
1,1,17.7,39.1,47.3,0
1,2,12.944,-0.9,24.716,0
2,4,45,-0.9,37.8,0
2,3,19.84,-1.3,7.7,1
2,5,34.2,3,14,0
2,1,30.2,16.5,95.7,0
2,2,39.844,-16.472,20.716,0
3,4,10.8,0,25.2,0
3,3,22.04,0.44,1.72,0
3,5,8.4,8.4,9.6,0
3,1,72.2,13.4,43.9,1
3,2,30.86,1.8,17.272,0
4,4,44.1,0,35.1,0
4,3,22.96,10.6,3.54,0
4,5,31.4,1.2,11.4,0
4,1,49.1,-9.7,47.7,1
4,2,68.612,2.428,11.088,0
1,4,10.8,16.2,20.7,0
1,3,18.02,3.88,6.82,1
1,5,32.4,11.2,7.8,0
1,1,4,10.2,23.9,1
1,2,12.572,12.6,12.972,0
2,4,2.7,-13.5,29.7,0
2,3,19.68,3.6,3.76,0
2,5,20.8,0,13.4,1
2,1,21.3,19.1,28,1
2,2,13.228,1,28.616,0
3,4,21.6,36,25.2,0
3,3,14.98,0,7.06,0
3,5,5,6.4,9.8,1
3,1,34.7,18.4,55.9,0
3,2,20.552,12.112,22.42,0
4,4,43.2,29.7,30.6,0
4,3,16.54,1.32,7.74,0
4,5,22.2,8.8,18,0
4,1,32.9,37.4,53.6,0
4,2,17.096,-23.8,27.716,0
1,4,5.4,23.4,28.8,0
1,3,15.24,1.54,4.32,1
1,5,24.4,0,8,0
1,1,1.6,9.4,11.8,1
1,2,11.672,20,20.9,0
2,4,1.8,22.5,25.2,0
2,3,20.02,5.54,5.2,0
2,5,21.6,9,8.2,0
2,1,18.9,20.3,22.7,1
2,2,11.512,10,12.616,0
3,4,6.3,14.4,30.6,0
3,3,9.74,-1.38,3.86,1
3,5,6,6,5,1
3,1,14.9,21.9,42.4,1
3,2,13.708,18.7,26.544,1
4,4,15.3,9,36.9,0
4,3,13.54,4.04,7.04,0
4,5,9.2,6,19,0
4,1,14.8,14,32.1,1
4,2,29.896,22.3,9.5,1
1,4,5.4,22.5,23.4,0
1,3,5.1,2.94,13.08,1
1,5,12.4,2,14,0
1,1,3.2,25.8,24.2,1
1,2,12.2,9.5,8.972,1
2,4,1.8,30.6,30.6,0
2,3,8.36,-2,9.66,1
2,5,2.4,1,20.2,1
2,1,22.1,30.9,27.7,1
2,2,12.968,25,23.544,0
3,4,1.8,18,24.3,0
3,3,6.64,4.2,7.3,1
3,5,4,6.4,8.4,1
3,1,1.6,2.8,16.1,1
3,2,15.636,18,16.072,0
4,4,40.5,39.6,14.4,0
4,3,10.1,3.36,6.8,0
4,5,14.4,14.4,9.2,1
4,1,21.8,25.8,18.8,1
4,2,36.296,30.4,24,0
1,4,7.2,36,34.2,0
1,3,1.88,1.32,4.54,1
1,5,5.2,0,8,0
1,1,4,24.6,24.5,1
1,2,18.028,20,14.172,0
2,4,16.2,36,21.6,0
2,3,8.16,3.88,5.02,1
2,5,2.4,8,8,1
2,1,22.9,30.1,30,1
2,2,6.252,8.628,15.344,0
3,4,1.8,27,27,0
3,3,4.54,4.08,6.18,1
3,5,6.2,8,5.8,0
3,1,0,17.5,19.1,1
3,2,36.808,32.16,11.26,0
4,4,0.9,0,40.5,0
4,3,4,1.8,7.9,1
4,5,7.2,0,7.2,1
4,1,1.6,3.2,23.4,1
4,2,11.224,0,25.072,0
1,4,0,13.5,20.7,1
1,3,19.34,18.6,7.14,1
1,5,1,8,12.2,1
1,1,0.8,6,9.2,1
1,2,22.128,22.8,18.7,0
2,4,13.5,35.1,37.8,0
2,3,4.4,7.44,11.2,1
2,5,4.8,14.4,12,0
2,1,18.9,32.3,36.3,1
2,2,17.264,25,13.988,1
3,4,1.8,27,27,0
3,3,7.88,7.74,4.4,1
3,5,2.4,10.4,14.2,1
3,1,2.4,42.5,40.1,1
3,2,37.948,20,18.86,0
4,4,0,25.2,26.1,1
4,3,4.6,7.36,6.76,1
4,5,12,16,11.2,0
4,1,6.4,35.2,30.4,1
4,2,23.408,30,17.816,0
1,4,0.9,31.5,31.5,0
1,3,33.8,18.28,3.82,1
1,5,4,6.4,3.4,1
1,1,10.3,45.9,36.4,0
1,2,9.884,8,21.144,0
2,4,0,9,23.4,1
2,3,4.08,3.88,4.2,1
2,5,0.8,4.8,8.8,0
2,1,21.3,39.1,36.7,1
2,2,5.52,4.7,16.444,0
3,4,1.8,29.7,29.7,0
3,3,15.7,11.46,3.64,1
3,5,0,1.6,4,1
3,1,4,28.2,27.3,1
3,2,11.148,3.8,30.6,0
4,4,9,45,36,0
4,3,12.6,14.2,6.2,0
4,5,0,2.4,14.4,1
4,1,8.1,36.3,35.3,1
4,2,17.108,12.6,18.9,0
1,4,0,35.1,36,1
1,3,35.62,5.64,3.82,0
1,5,6.4,14.4,12,0
1,1,9,33.4,40.9,0
1,2,22.684,23.6,10.8,0
2,4,0,33.3,33.3,1
2,3,18.88,18.72,3.92,0
2,5,1.8,14.2,13.2,0
2,1,27.7,51.9,45.5,1
2,2,16.32,26.96,16.16,0
3,4,0.9,44.1,45,0
3,3,16.52,8.26,7.44,1
3,5,2,11.6,9.6,1
3,1,2.4,42.8,44.4,1
3,2,11.76,12.928,12.316,1
4,4,0,43.2,54.9,1
4,3,17.8,8.3,3.1,0
4,5,3,7.2,4.2,1
4,1,2.4,36.9,42.6,1
4,2,12.308,7,12.8,0
1,4,0,39.6,41.4,1
1,3,24.66,-2.56,9.5,1
1,5,4.8,9.6,11.2,0
1,1,14,36.8,33.2,0
1,2,12.784,7.7,18.6,0
2,4,0,20.7,21.6,1
2,3,15.68,3.44,6.64,0
2,5,0.8,8.8,9.8,1
2,1,27.3,36,37.1,1
2,2,27.02,20.7,10,0
3,4,1.8,36,35.1,0
3,3,7.82,0,8.7,1
3,5,1,11.6,12.6,1
3,1,7.8,46.8,41.4,0
3,2,7.156,6.7,11.304,1
4,4,0,40.5,41.4,1
4,3,8.12,1.44,11.12,1
4,5,4,11.6,10.6,1
4,1,0,38.5,40.9,1
4,2,18.236,24,19.072,0
1,4,0,36,36,1
1,3,14.04,-5.14,5.48,1
1,5,0.8,5.6,9.6,1
1,1,9.4,30.6,35.2,0
1,2,11.984,14,14.8,1
2,4,0,28.8,28.8,1
2,3,13.8,0,1.88,0
2,5,0.8,9.6,9.6,1
2,1,27,50.2,50.5,0
2,2,12.676,0,15.344,0
3,4,0,27,29.7,1
3,3,8.58,3.7,2.94,1
3,5,0,4,5,1
3,1,8,32,32.5,1
3,2,15.44,26,17.716,1
4,4,0,50.4,50.4,1
4,3,2,2,8.12,1
4,5,2,3.2,5.2,1
4,1,3.2,41.3,38.1,1
4,2,0,-1.536,17.7,1
1,4,3.6,43.2,39.6,0
1,3,14.26,7.54,7.32,1
1,5,0,14,15.6,1
1,1,1.4,34.1,42.1,1
1,2,5.712,8.7,14.972,1
2,4,0,36.9,36.9,1
2,3,5.1,-1,7.7,1
2,5,3.2,14.8,12.4,1
2,1,16.9,36.4,46.5,1
2,2,9.16,10,13.516,1
3,4,10.8,47.7,37.8,0
3,3,8.36,2.72,2.94,1
3,5,5,16.2,11.2,1
3,1,1.6,43.3,49.7,1
3,2,32.196,42,26.244,0
4,4,0,52.2,52.2,1
4,3,11.2,10.86,1.66,1
4,5,1,13,14,1
4,1,0,46.2,49.4,1
4,2,0,5,5,1
1,4,16.2,53.1,40.5,0
1,3,22.96,12.68,3.98,0
1,5,3,9.8,6.8,1
1,1,3.2,43.6,41.8,1
1,2,14.668,27.2,18.244,0
2,4,12.6,40.5,27.9,0
2,3,11.68,10.52,3.94,1
2,5,1.8,6,7.4,0
2,1,18.5,46.1,44.5,1
2,2,13.8,19.9,15.26,1
3,4,31.5,58.5,37.8,0
3,3,10.42,6.16,4.1,1
3,5,3,4,7,1
3,1,2.4,50.6,49.8,1
3,2,4.792,-11.4,17.004,1
4,4,5.4,56.7,51.3,0
4,3,13.96,11.02,8.26,1
4,5,6,9.8,4.8,1
4,1,3.2,52.3,51.9,1
4,2,28.488,42.46,13.972,0
1,4,27,45,34.2,0
1,3,19.66,-0.700000000000001,2.6,1
1,5,9.6,21.2,14.6,0
1,1,8,50.9,46.1,1
1,2,14.6,14.832,14.9,1
2,4,0.9,36,47.7,0
2,3,16.48,10.46,5.66,1
2,5,4.6,15,12.2,0
2,1,27.9,55.9,46.5,0
2,2,9.852,16.3,20.248,0
3,4,0,0,31.5,1
3,3,8.26,0.94,3.1,0
3,5,0,14.4,17.4,1
3,1,5.4,57.3,55.7,0
3,2,2.176,18,20.616,1
4,4,0,48.6,54,1
4,3,17.16,6.58,3.38,0
4,5,8,18,16,1
4,1,2.4,50.6,51.4,1
4,2,30.488,17.8,15.8,0
1,4,0.9,18,29.7,0
1,3,13.86,1.28,7.08,0
1,5,18.8,18,8.8,0
1,1,9.6,48.7,33.1,1
1,2,18.5,15.9,12,0
2,4,0,16.2,17.1,1
2,3,13.62,4.06,7.86,0
2,5,2.8,9.6,11.4,0
2,1,28.1,45.3,45.1,1
2,2,7.508,13,15.344,0
3,4,0,0,0,1
3,3,6.82,1,2.44,1
3,5,2,4,2,1
3,1,4,0.8,2.2,1
3,2,9.688,9.5,2.888,1
4,4,9.9,51.3,41.4,0
4,3,12.24,1.18,6.1,0
4,5,14.8,18,11.2,0
4,1,26.2,70.2,46.4,0
4,2,23.616,8.9,16.772,1
1,4,0.9,36,36,0
1,3,16.96,9.64,6.54,0
1,5,21.2,15.4,13,0
1,1,30.4,50.4,30.3,0
1,2,26.9,22.4,14,0
2,4,11.7,45,33.3,0
2,3,12.64,8.16,9.14,0
2,5,4.8,18,16,0
2,1,28.1,36.8,36.8,1
2,2,9.936,18.428,16,0
3,4,19.8,54,34.2,0
3,3,7.14,8.3,7.98,0
3,5,3.4,18,17.6,0
3,1,4.8,60.1,60,1
3,2,16.7,31.8,24.788,0
4,4,19.8,54,44.1,0
4,3,6.88,0.34,5.7,1
4,5,8,2.6,10.4,1
4,1,2.5,22.7,46.4,1
4,2,7.344,-5.3,10.972,1
1,4,24,60.1,37,1
1,3,27.7,12.46,1.72,0
1,5,12.2,4.8,13.8,0
1,1,43.4,61.9,48.9,0
1,2,18.5,14.2,22.6,0
2,4,48.1,73.5,37.1,0
2,3,22.08,14.46,5.02,0
2,5,7.8,13,10,0
2,1,32.1,62.4,58.4,1
2,2,6.964,19.6,22.572,0
3,4,21.6,43.2,42.3,0
3,3,5.3,5.06,7.84,1
3,5,10.8,18,10.6,0
