"store","product","stock","receipt","sales","stockout"
"D","Yam",10.44,-8.8,3.6,"0"
"D","Onion",3,9,11,"1"
"D","Tomato",5.6,7,11.8,"1"
"D","Carrot",18.16,10,16.072,"0"
"B","Potato",0,5.4,9.9,"1"
"B","Yam",20.14,-0.52,3.1,"0"
"B","Onion",7,5.2,3.2,"1"
"B","Tomato",25.8,29,23.7,"0"
"B","Carrot",10.464,19,17.116,"0"
"C","Potato",0,0,1.8,"1"
"C","Yam",8.4,0.12,3.3,"1"
"C","Onion",1,0,3,"1"
"C","Tomato",6.4,4.8,3.2,"1"
"C","Carrot",4.5,9,5.4,"1"
"D","Potato",13.5,0,17.1,"0"
"D","Yam",4.92,-1.42,4.1,"0"
"D","Onion",0,4,7,"1"
"D","Tomato",5.6,16.5,16.5,"1"
"D","Carrot",9.06,7.2,17.2,"0"
"B","Potato",17.1,27,9.9,"0"
"B","Yam",16.62,0.34,3.86,"0"
"B","Onion",7.8,9.2,8.4,"0"
"B","Tomato",37.2,30.9,19.5,"0"
"B","Carrot",16.376,14.728,8.816,"0"
"C","Potato",6.3,26.1,19.8,"0"
"C","Onion",0,8,9,"1"
"C","Tomato",3.2,34.4,37.6,"1"
"C","Carrot",17.516,32.16,19.144,"0"
"D","Yam",18.68,17.68,3.92,"0"
"D","Onion",1,11,10,"1"
"D","Tomato",26.4,30,10.5,"0"
"D","Carrot",18.66,19.5,9.9,"0"
"B","Potato",22.5,25.2,19.8,"0"
"B","Yam",16.54,10.1,10.18,"0"
"B","Onion",10.8,18.2,15.2,"0"
"B","Tomato",80,86,43.2,"0"
"B","Carrot",41.676,35.56,10.26,"0"
"C","Potato",13.5,36,28.8,"0"
"C","Yam",13.42,12.3,7.46,"0"
"C","Onion",3,11.6,8.6,"1"
"C","Tomato",1.3,52,58.6,"1"
"C","Carrot",20.944,23.6,22.172,"0"
"D","Yam",16.58,14.4,16.5,"0"
"D","Onion",6.8,22.8,17.8,"0"
"D","Tomato",22.1,29.7,34.8,"0"
"D","Carrot",32.16,26.4,12.9,"0"
"B","Potato",35.1,34.2,21.6,"0"
"B","Yam",23.04,10.1,3.6,"0"
"B","Onion",10.8,18,18,"0"
"C","Potato",21.6,36,27.9,"0"
"C","Onion",9.8,29.4,22.6,"0"
"D","Potato",23.4,36,28.8,"0"
"D","Yam",24.18,20.12,12.52,"0"
"D","Onion",7,28.6,28.4,"1"
"D","Tomato",11.1,33.2,44.2,"0"
"B","Tomato",75.5,9.4,37.2,"0"
"B","Carrot",31.46,0.8,19.716,"0"
"C","Potato",5.4,18,35.1,"0"
"C","Yam",21.98,4.16,8.78,"0"
"C","Onion",5,0,4.8,"1"
"D","Potato",0,3.6,27,"1"
"D","Yam",25.12,7.58,6.64,"0"
"D","Onion",5,12,14,"1"
"B","Yam",55.18,24.2,1.44,"0"
"B","Onion",24,39.8,21.8,"0"
"C","Yam",33.76,16.02,4.24,"0"
"C","Onion",9,27,23.8,"1"
"C","Tomato",70.6,64.8,29.2,"0"
"D","Potato",14.4,45,30.6,"0"
"D","Yam",52.54,29.46,2.04,"0"
"D","Onion",26.4,42.4,21.8,"0"
"D","Tomato",30.2,52.8,43.3,"0"
"B","Potato",45.9,36,15.3,"0"
"B","Yam",64.56,11.42,2.04,"0"
"B","Tomato",85.7,58,40.1,"0"
"B","Carrot",47.7,31.8,8.272,"0"
"C","Potato",55.8,54,18,"0"
"C","Carrot",58.296,23.6,16.088,"0"
"D","Potato",31.5,49.5,32.4,"0"
"D","Yam",80.04,31.74,4.24,"0"
"D","Tomato",55.5,69,43.7,"1"
"D","Carrot",78.2,47.2,18.072,"0"
"A","Potato",0,10.8,10.8,"1"
"A","Tomato",4,19.4,15.4,"1"
"B","Potato",13.5,0,32.4,"0"
"B","Yam",62.46,0,2.1,"0"
"B","Onion",41.2,17.6,15.6,"0"
"B","Tomato",47.7,-2.9,35.1,"0"
"B","Carrot",42.984,10,14.716,"0"
"C","Potato",26.1,0,29.7,"0"
"C","Onion",39.8,16.4,10.4,"0"
"C","Tomato",43.5,-4.2,47.7,"0"
"D","Onion",30.2,-1,18,"0"
"D","Tomato",16,-7.2,32.3,"0"
"D","Carrot",64.1,3.6,17.7,"0"
"A","Potato",0,13.5,13.5,"1"
"A","Onion",16.2,17,6.4,"0"
"A","Tomato",8.2,17.8,13.6,"0"
"A","Carrot",12.756,11.7,17.788,"0"
"B","Potato",18,27,23.4,"0"
"B","Onion",30.4,-0.8,10,"0"
"B","Tomato",60.1,47.3,36.2,"0"
"B","Carrot",22.364,0,20.62,"0"
"C","Potato",0,0,26.1,"1"
"C","Yam",16.22,-9.22,8.56,"0"
"C","Tomato",2.6,32.5,73.4,"1"
"C","Carrot",16.592,-1,29.972,"0"
"D","Potato",2.7,33.3,36.9,"0"
"D","Yam",11.5,-48.32,2.88,"1"
"D","Onion",15.8,1.6,16,"0"
"D","Tomato",32,66.3,51.1,"0"
"A","Potato",3.6,18,14.4,"0"
"A","Tomato",10.4,34.2,32,"1"
"A","Carrot",4.08,3.8,11.116,"1"
"B","Potato",38.7,43.2,24.3,"0"
"B","Yam",51.6,0,6.62,"0"
"B","Onion",24.6,4,9.8,"0"
"B","Tomato",70.5,46.6,40.1,"0"
"B","Carrot",18.204,10.1,17.16,"0"
"C","Potato",21.6,44.1,23.4,"0"
"C","Yam",10.7,-1.88,3.64,"1"
"C","Onion",21,0,6.6,"0"
"C","Tomato",2.4,47.9,49.4,"1"
"C","Carrot",7.22,4.6,14.972,"0"
"D","Yam",3,-1,7.5,"1"
"D","Onion",19.8,14.4,11.2,"0"
"D","Carrot",14.628,0,4.872,"0"
"A","Potato",0,18,21.6,"1"
"A","Onion",4.8,1.6,5.2,"0"
"A","Tomato",4.8,5.9,11.5,"1"
"A","Carrot",2.992,14,15.088,"1"
"B","Onion",22.6,7,9,"0"
"B","Carrot",18.532,17.928,17.6,"0"
"C","Yam",11.02,6.16,5.84,"0"
"C","Carrot",9.348,15.3,13.172,"0"
"D","Potato",21.6,33.3,39.6,"0"
"D","Yam",3,6.32,6.32,"1"
"D","Onion",5,-2.6,12.2,"1"
"D","Carrot",2.7,1.672,13.6,"1"
"A","Potato",0,15.3,15.3,"1"
"A","Yam",10.7,6.96,10.3,"1"
"A","Carrot",15.204,27.2,14.988,"0"
"B","Potato",32.4,27,27.9,"0"
"B","Yam",38.22,6.48,3.86,"0"
"B","Onion",23,7.2,6.8,"0"
"C","Potato",0.9,22.5,35.1,"0"
"C","Yam",7.54,4.76,8.24,"0"
"C","Onion",6.8,5.6,17.2,"0"
"C","Tomato",39.2,45.4,72.6,"0"
"C","Carrot",19.432,31.8,21.716,"0"
"D","Potato",18.9,40.5,43.2,"0"
"D","Onion",1.6,17.6,21,"1"
"D","Tomato",14.6,59.7,62.9,"0"
"D","Carrot",7.7,22.7,17.7,"1"
"A","Potato",0,22.5,22.5,"1"
"A","Yam",14.32,9.3,5.68,"0"
"A","Onion",8.4,12.8,12.2,"0"
"A","Tomato",11.9,52.8,47.2,"0"
"B","Yam",40.04,3.64,1.82,"0"
"B","Onion",19.2,8,11.8,"0"
"B","Tomato",32.5,20.8,58.8,"0"
"C","Yam",11.16,7.66,4.04,"0"
"C","Onion",5.8,8,9,"0"
"C","Carrot",17.148,19.96,22.244,"0"
"D","Potato",0.9,18,36.9,"0"
"D","Onion",5.6,16,12,"1"
"D","Tomato",8.2,29.8,36.2,"0"
"D","Carrot",24.188,29.76,13.272,"0"
"A","Potato",0,14.4,14.4,"1"
"A","Onion",12.2,17.6,13.8,"0"
"A","Carrot",34.532,28.16,17.716,"0"
"B","Onion",38,32,13.2,"0"
"B","Carrot",57.072,40,8.8,"0"
"C","Potato",30.6,58.5,28.8,"0"
"C","Onion",9.6,17.2,13.4,"0"
"C","Tomato",97.3,95.2,30.9,"0"
"C","Carrot",46.948,41.8,12,"0"
"D","Potato",62.1,90,28.8,"0"
"D","Yam",11.24,4.94,13.52,"0"
"D","Onion",28.4,40,17.2,"0"
"D","Carrot",63.688,50.4,10.9,"0"
"A","Potato",28.8,52.2,23.4,"0"
"A","Yam",24.7,12.26,5.86,"0"
"A","Onion",16.8,15.2,10.6,"0"
"A","Carrot",38.56,18,13.972,"0"
"B","Potato",82.8,18,35.1,"0"
"B","Yam",29.78,4.64,4.6,"0"
"B","Tomato",109.4,90.5,61.3,"0"
"B","Carrot",77.032,34.96,18,"0"
"C","Tomato",102.7,55.4,50,"0"
"C","Carrot",46.332,20.8,21.416,"0"
"D","Potato",79.2,45,27.9,"0"
"D","Onion",41.6,29,15.8,"0"
"D","Tomato",106.5,83.8,43.4,"0"
"D","Carrot",77.272,29.1,15.516,"0"
"A","Potato",15.3,13.5,27,"0"
"A","Onion",29,16.4,4.2,"0"
"A","Tomato",17.7,39.1,47.3,"0"
"A","Carrot",12.944,-0.9,24.716,"0"
"B","Onion",34.2,3,14,"0"
"B","Tomato",30.2,16.5,95.7,"0"
"C","Potato",10.8,0,25.2,"0"
"C","Onion",8.4,8.4,9.6,"0"
"C","Tomato",72.2,13.4,43.9,"0"
"C","Carrot",30.86,1.8,17.272,"0"
"D","Potato",44.1,0,35.1,"0"
"D","Yam",22.96,10.6,3.54,"0"
"D","Onion",31.4,1.2,11.4,"0"
"D","Tomato",49.1,-9.7,47.7,"0"
"D","Carrot",68.612,2.428,11.088,"0"
"A","Potato",10.8,16.2,20.7,"0"
"A","Onion",32.4,11.2,7.8,"0"
"A","Tomato",4,10.2,23.9,"1"
"B","Potato",2.7,-13.5,29.7,"0"
"B","Yam",19.68,3.6,3.76,"0"
"B","Onion",20.8,0,13.4,"1"
"B","Tomato",21.3,19.1,28,"0"
"B","Carrot",13.228,1,28.616,"0"
"C","Potato",21.6,36,25.2,"0"
"C","Yam",14.98,0,7.06,"0"
"C","Onion",5,6.4,9.8,"1"
"C","Tomato",34.7,18.4,55.9,"0"
"C","Carrot",20.552,12.112,22.42,"0"
"D","Yam",16.54,1.32,7.74,"0"
"D","Onion",22.2,8.8,18,"0"
"D","Tomato",32.9,37.4,53.6,"0"
"D","Carrot",17.096,-23.8,27.716,"0"
"A","Potato",5.4,23.4,28.8,"0"
"A","Yam",15.24,1.54,4.32,"0"
"A","Onion",24.4,0,8,"0"
"A","Tomato",1.6,9.4,11.8,"1"
"A","Carrot",11.672,20,20.9,"0"
"B","Potato",1.8,22.5,25.2,"0"
"B","Onion",21.6,9,8.2,"0"
"B","Tomato",18.9,20.3,22.7,"1"
"B","Carrot",11.512,10,12.616,"0"
"C","Potato",6.3,14.4,30.6,"0"
"C","Yam",9.74,-1.38,3.86,"0"
"C","Onion",6,6,5,"1"
"C","Carrot",13.708,18.7,26.544,"0"
"D","Onion",9.2,6,19,"0"
"D","Tomato",14.8,14,32.1,"0"
"A","Yam",5.1,2.94,13.08,"1"
"A","Onion",12.4,2,14,"0"
"A","Tomato",3.2,25.8,24.2,"1"
"A","Carrot",12.2,9.5,8.972,"0"
"B","Potato",1.8,30.6,30.6,"0"
"B","Yam",8.36,-2,9.66,"0"
"B","Onion",2.4,1,20.2,"1"
"C","Potato",1.8,18,24.3,"0"
"C","Yam",6.64,4.2,7.3,"0"
"C","Onion",4,6.4,8.4,"1"
"C","Tomato",1.6,2.8,16.1,"1"
"C","Carrot",15.636,18,16.072,"0"
"D","Potato",40.5,39.6,14.4,"0"
"D","Yam",10.1,3.36,6.8,"0"
"D","Onion",14.4,14.4,9.2,"1"
"D","Carrot",36.296,30.4,24,"0"
"A","Potato",7.2,36,34.2,"0"
"A","Yam",1.88,1.32,4.54,"1"
"A","Onion",5.2,0,8,"0"
"A","Tomato",4,24.6,24.5,"1"
"A","Carrot",18.028,20,14.172,"0"
"B","Potato",16.2,36,21.6,"0"
"B","Yam",8.16,3.88,5.02,"1"
"B","Onion",2.4,8,8,"1"
"B","Tomato",22.9,30.1,30,"0"
"C","Potato",1.8,27,27,"0"
"C","Tomato",0,17.5,19.1,"1"
"D","Potato",0.9,0,40.5,"0"
"D","Yam",4,1.8,7.9,"1"
"D","Onion",7.2,0,7.2,"1"
"D","Tomato",1.6,3.2,23.4,"1"
"A","Potato",0,13.5,20.7,"1"
"A","Onion",1,8,12.2,"1"
"A","Tomato",0.8,6,9.2,"1"
"B","Yam",4.4,7.44,11.2,"1"
"B","Onion",4.8,14.4,12,"0"
"B","Tomato",18.9,32.3,36.3,"1"
"B","Carrot",17.264,25,13.988,"0"
"C","Yam",7.88,7.74,4.4,"1"
"C","Onion",2.4,10.4,14.2,"1"
"C","Tomato",2.4,42.5,40.1,"1"
"D","Potato",0,25.2,26.1,"1"
"D","Yam",4.6,7.36,6.76,"0"
"D","Tomato",6.4,35.2,30.4,"1"
"A","Potato",0.9,31.5,31.5,"0"
"A","Yam",33.8,18.28,3.82,"0"
"A","Onion",4,6.4,3.4,"1"
"A","Tomato",10.3,45.9,36.4,"0"
"A","Carrot",9.884,8,21.144,"0"
"B","Potato",0,9,23.4,"1"
"B","Yam",4.08,3.88,4.2,"1"
"B","Tomato",21.3,39.1,36.7,"0"
"C","Potato",1.8,29.7,29.7,"0"
"C","Onion",0,1.6,4,"1"
"C","Tomato",4,28.2,27.3,"1"
"C","Carrot",11.148,3.8,30.6,"0"
"D","Potato",9,45,36,"0"
"D","Yam",12.6,14.2,6.2,"0"
"D","Onion",0,2.4,14.4,"1"
"D","Tomato",8.1,36.3,35.3,"1"
"A","Potato",0,35.1,36,"1"
"A","Yam",35.62,5.64,3.82,"0"
"A","Onion",6.4,14.4,12,"0"
"B","Potato",0,33.3,33.3,"1"
"B","Yam",18.88,18.72,3.92,"0"
"B","Onion",1.8,14.2,13.2,"0"
"B","Tomato",27.7,51.9,45.5,"0"
"C","Onion",2,11.6,9.6,"1"
"C","Tomato",2.4,42.8,44.4,"1"
"D","Potato",0,43.2,54.9,"1"
"D","Yam",17.8,8.3,3.1,"0"
"D","Onion",3,7.2,4.2,"1"
"D","Tomato",2.4,36.9,42.6,"1"
"D","Carrot",12.308,7,12.8,"0"
"A","Potato",0,39.6,41.4,"1"
"A","Yam",24.66,-2.56,9.5,"0"
"A","Onion",4.8,9.6,11.2,"0"
"B","Potato",0,20.7,21.6,"1"
"B","Yam",15.68,3.44,6.64,"0"
"B","Onion",0.8,8.8,9.8,"1"
"B","Tomato",27.3,36,37.1,"1"
"B","Carrot",27.02,20.7,10,"0"
"C","Potato",1.8,36,35.1,"0"
"C","Yam",7.82,0,8.7,"1"
"C","Onion",1,11.6,12.6,"1"
"C","Tomato",7.8,46.8,41.4,"0"
"C","Carrot",7.156,6.7,11.304,"0"
"D","Potato",0,40.5,41.4,"1"
"D","Yam",8.12,1.44,11.12,"0"
"D","Onion",4,11.6,10.6,"1"
"D","Tomato",0,38.5,40.9,"1"
"D","Carrot",18.236,24,19.072,"0"
"A","Potato",0,36,36,"1"
"A","Onion",0.8,5.6,9.6,"1"
"A","Tomato",9.4,30.6,35.2,"0"
"A","Carrot",11.984,14,14.8,"0"
"B","Potato",0,28.8,28.8,"1"
"B","Yam",13.8,0,1.88,"0"
"B","Onion",0.8,9.6,9.6,"1"
"B","Tomato",27,50.2,50.5,"0"
"C","Potato",0,27,29.7,"1"
"C","Onion",0,4,5,"1"
"C","Tomato",8,32,32.5,"1"
"C","Carrot",15.44,26,17.716,"0"
"D","Potato",0,50.4,50.4,"1"
"D","Yam",2,2,8.12,"1"
"D","Onion",2,3.2,5.2,"1"
"D","Tomato",3.2,41.3,38.1,"1"
"D","Carrot",0,-1.536,17.7,"1"
"A","Yam",14.26,7.54,7.32,"1"
"A","Onion",0,14,15.6,"1"
"A","Tomato",1.4,34.1,42.1,"1"
"A","Carrot",5.712,8.7,14.972,"1"
"B","Potato",0,36.9,36.9,"1"
"B","Yam",5.1,-1,7.7,"1"
"B","Onion",3.2,14.8,12.4,"1"
"B","Tomato",16.9,36.4,46.5,"1"
"B","Carrot",9.16,10,13.516,"0"
"C","Yam",8.36,2.72,2.94,"0"
"C","Onion",5,16.2,11.2,"1"
"C","Tomato",1.6,43.3,49.7,"1"
"C","Carrot",32.196,42,26.244,"0"
"D","Potato",0,52.2,52.2,"1"
"D","Yam",11.2,10.86,1.66,"1"
"D","Onion",1,13,14,"1"
"D","Tomato",0,46.2,49.4,"1"
"D","Carrot",0,5,5,"1"
"A","Yam",22.96,12.68,3.98,"0"
"A","Onion",3,9.8,6.8,"1"
"A","Tomato",3.2,43.6,41.8,"1"
"A","Carrot",14.668,27.2,18.244,"0"
"B","Onion",1.8,6,7.4,"0"
"B","Tomato",18.5,46.1,44.5,"0"
"B","Carrot",13.8,19.9,15.26,"0"
"C","Potato",31.5,58.5,37.8,"0"
"C","Yam",10.42,6.16,4.1,"0"
"C","Onion",3,4,7,"1"
"C","Tomato",2.4,50.6,49.8,"1"
"C","Carrot",4.792,-11.4,17.004,"0"
"D","Potato",5.4,56.7,51.3,"0"
"D","Onion",6,9.8,4.8,"1"
"D","Tomato",3.2,52.3,51.9,"1"
"D","Carrot",28.488,42.46,13.972,"0"
"A","Potato",27,45,34.2,"0"
"A","Yam",19.66,-0.700000000000001,2.6,"0"
"A","Tomato",8,50.9,46.1,"1"
"A","Carrot",14.6,14.832,14.9,"0"
"B","Potato",0.9,36,47.7,"0"
"B","Yam",16.48,10.46,5.66,"0"
"B","Onion",4.6,15,12.2,"0"
"C","Potato",0,0,31.5,"1"
"C","Onion",0,14.4,17.4,"1"
"C","Tomato",5.4,57.3,55.7,"0"
"C","Carrot",2.176,18,20.616,"1"
"D","Potato",0,48.6,54,"1"
"D","Yam",17.16,6.58,3.38,"0"
"D","Onion",8,18,16,"1"
"D","Tomato",2.4,50.6,51.4,"1"
"D","Carrot",30.488,17.8,15.8,"0"
"A","Onion",18.8,18,8.8,"0"
"A","Tomato",9.6,48.7,33.1,"1"
"A","Carrot",18.5,15.9,12,"0"
"B","Potato",0,16.2,17.1,"1"
"B","Onion",2.8,9.6,11.4,"0"
"B","Tomato",28.1,45.3,45.1,"0"
"B","Carrot",7.508,13,15.344,"0"
"C","Potato",0,0,0,"1"
"C","Onion",2,4,2,"1"
"C","Tomato",4,0.8,2.2,"1"
"C","Carrot",9.688,9.5,2.888,"0"
"D","Potato",9.9,51.3,41.4,"0"
"D","Yam",12.24,1.18,6.1,"0"
"D","Onion",14.8,18,11.2,"0"
"D","Carrot",23.616,8.9,16.772,"0"
"A","Potato",0.9,36,36,"0"
"A","Tomato",30.4,50.4,30.3,"0"
"A","Carrot",26.9,22.4,14,"0"
"B","Yam",12.64,8.16,9.14,"0"
"B","Onion",4.8,18,16,"0"
"B","Tomato",28.1,36.8,36.8,"0"
"B","Carrot",9.936,18.428,16,"0"
"C","Potato",19.8,54,34.2,"0"
"C","Onion",3.4,18,17.6,"0"
"C","Tomato",4.8,60.1,60,"1"
"C","Carrot",16.7,31.8,24.788,"0"
"D","Potato",19.8,54,44.1,"0"
"D","Yam",6.88,0.34,5.7,"0"
"D","Onion",8,2.6,10.4,"1"
"D","Tomato",2.5,22.7,46.4,"1"
"D","Carrot",7.344,-5.3,10.972,"1"
"A","Potato",24,60.1,37,"1"
"A","Tomato",43.4,61.9,48.9,"0"
"B","Tomato",32.1,62.4,58.4,"1"
"C","Potato",21.6,43.2,42.3,"0"
"C","Tomato",13.2,57.4,49.7,"0"
"C","Carrot",23.04,23.4,17.06,"0"
"D","Potato",16.4,47.9,53.1,"0"
"D","Onion",3,12,17,"1"
"D","Tomato",16.6,56.1,42,"0"
"D","Carrot",7.344,9.8,9.8,"1"
"A","Potato",0,21.1,46.1,"1"
"A","Yam",22.92,1.34,6.12,"0"
"A","Carrot",2.7,5,20.8,"1"
